Product_ID,Product_Name,Category,Description,Price,Stock_Quantity,Supplier,Manufacturer,Warranty_Period,SKU,Release_Date,Dimensions,Weight,Color,Material
1,Smartphone X1,1,High-end smartphone with 128GB storage,999.99,150,Supplier A,Manufacturer A,24 months,X1-128,2023-01-15,145x70x8 mm,170g,Black,Aluminum
2,Smartphone X1,1,High-end smartphone with 256GB storage,1199.99,100,Supplier A,Manufacturer A,24 months,X1-256,2023-01-15,145x70x8 mm,170g,Black,Aluminum
3,Laptop Pro 15,1,Powerful laptop with 16GB RAM and 512GB SSD,1599.99,80,Supplier B,Manufacturer B,12 months,LP15-512,2023-03-10,350x230x18 mm,2kg,Silver,Aluminum
4,Laptop Pro 15,1,Powerful laptop with 32GB RAM and 1TB SSD,1999.99,50,Supplier B,Manufacturer B,12 months,LP15-1TB,2023-03-10,350x230x18 mm,2kg,Silver,Aluminum
5,4K LED TV 55",1,55 inch 4K Ultra HD LED TV,799.99,60,Supplier C,Manufacturer C,36 months,TV55-4K,2023-05-20,1240x720x60 mm,12kg,Black,Plastic
6,4K LED TV 65",1,65 inch 4K Ultra HD LED TV,999.99,40,Supplier C,Manufacturer C,36 months,TV65-4K,2023-05-20,1450x830x60 mm,15kg,Black,Plastic
7,Wireless Earbuds,1,Noise-canceling wireless earbuds,199.99,200,Supplier D,Manufacturer D,12 months,WE-NC,2023-02-28,25x20x15 mm,50g,White,Plastic
8,Smartwatch Series 6,1,Advanced smartwatch with health tracking,399.99,90,Supplier E,Manufacturer E,24 months,SW6-HT,2023-04-05,45x38x10 mm,60g,Black,Aluminum
9,Tablet Pro 10,1,10 inch tablet with 128GB storage,499.99,120,Supplier F,Manufacturer F,12 months,TP10-128,2023-06-15,250x160x7 mm,450g,Gray,Aluminum
10,Tablet Pro 10,1,10 inch tablet with 256GB storage,599.99,70,Supplier F,Manufacturer F,12 months,TP10-256,2023-06-15,250x160x7 mm,450g,Gray,Aluminum
11,Desktop PC Ultra,1,High-performance desktop with 16GB RAM,999.99,30,Supplier G,Manufacturer G,24 months,PCU-16,2023-07-20,400x200x400 mm,8kg,Black,Metal
12,Desktop PC Ultra,1,High-performance desktop with 32GB RAM,1199.99,20,Supplier G,Manufacturer G,24 months,PCU-32,2023-07-20,400x200x400 mm,8kg,Black,Metal
13,Bluetooth Speaker,1,Portable Bluetooth speaker with 20W output,149.99,150,Supplier H,Manufacturer H,12 months,BS-20W,2023-08-01,180x70x70 mm,500g,Blue,Plastic
14,Smartphone X1 Pro,1,Flagship smartphone with 512GB storage,1399.99,100,Supplier A,Manufacturer A,24 months,X1P-512,2023-09-10,145x70x8 mm,175g,Black,Aluminum
15,Smartphone X1 Pro,1,Flagship smartphone with 1TB storage,1599.99,70,Supplier A,Manufacturer A,24 months,X1P-1TB,2023-09-10,145x70x8 mm,175g,Black,Aluminum
16,Smart Home Hub,1,Control hub for smart home devices,99.99,200,Supplier I,Manufacturer I,24 months,SHH-01,2023-10-01,100x100x30 mm,200g,White,Plastic
17,Smart Light Bulb,1,Energy-efficient smart light bulb,19.99,500,Supplier J,Manufacturer J,12 months,SLB-01,2023-11-15,60x60x120 mm,100g,White,Glass
18,Wireless Charger,1,Fast wireless charger for smartphones,49.99,300,Supplier K,Manufacturer K,12 months,WC-01,2023-12-05,100x100x10 mm,150g,Black,Plastic
19,Noise-Canceling Headphones,1,Over-ear noise-canceling headphones,299.99,80,Supplier L,Manufacturer L,24 months,NCH-01,2024-01-20,200x180x80 mm,300g,Black,Plastic
20,Smart Thermostat,1,Smart thermostat with remote control,199.99,150,Supplier M,Manufacturer M,24 months,ST-01,2024-02-28,90x90x25 mm,250g,White,Plastic
21,Gaming Console X,1,Latest gaming console with 1TB storage,499.99,60,Supplier N,Manufacturer N,24 months,GCX-1TB,2024-03-15,300x150x100 mm,2.5kg,Black,Plastic
22,Gaming Console X,1,Latest gaming console with 2TB storage,599.99,40,Supplier N,Manufacturer N,24 months,GCX-2TB,2024-03-15,300x150x100 mm,2.5kg,Black,Plastic
23,Action Camera 4K,1,Waterproof action camera with 4K recording,299.99,120,Supplier O,Manufacturer O,12 months,AC4K-01,2024-04-05,60x40x30 mm,150g,Black,Plastic
24,Drone Pro,1,High-performance drone with 4K camera,799.99,30,Supplier P,Manufacturer P,24 months,DP-4K,2024-05-10,400x400x90 mm,1kg,Black,Plastic
25,Smartphone X1 Lite,1,Mid-range smartphone with 64GB storage,699.99,200,Supplier A,Manufacturer A,24 months,X1L-64,2024-06-01,145x70x8 mm,165g,Black,Aluminum
26,Smartphone X1 Lite,1,Mid-range smartphone with 128GB storage,799.99,150,Supplier A,Manufacturer A,24 months,X1L-128,2024-06-01,145x70x8 mm,165g,Black,Aluminum
27,Electric Scooter,1,Electric scooter with 30km range,499.99,100,Supplier Q,Manufacturer Q,12 months,ES-30,2024-06-20,1000x150x1000 mm,15kg,Black,Metal
28,VR Headset,1,Virtual reality headset with controllers,399.99,80,Supplier R,Manufacturer R,12 months,VRH-01,2024-07-15,200x200x100 mm,800g,Black,Plastic
29,Portable Projector,1,Compact projector with 1080p resolution,299.99,70,Supplier S,Manufacturer S,12 months,PP-1080,2024-08-01,150x150x100 mm,1kg,White,Plastic
30,Robot Vacuum,1,Smart robot vacuum with app control,399.99,50,Supplier T,Manufacturer T,24 months,RV-01,2024-09-01,350x350x100 mm,4kg,Black,Plastic
31,Smartwatch Lite,1,Lightweight smartwatch with basic features,199.99,200,Supplier U,Manufacturer U,12 months,SWL-01,2024-10-01,40x35x10 mm,50g,Blue,Plastic
32,Home Security Camera,1,Wi-Fi enabled home security camera,149.99,150,Supplier V,Manufacturer V,24 months,HSC-01,2024-10-10,60x60x90 mm,200g,White,Plastic
33,Electric Kettle,2,1.7L electric kettle with auto shut-off,49.99,300,Supplier W,Manufacturer W,12 months,EK-1.7L,2024-10-15,150x150x250 mm,1kg,Silver,Stainless Steel
34,Blender Pro,2,High-power blender with 2L capacity,99.99,100,Supplier X,Manufacturer X,24 months,BP-2L,2024-10-20,200x200x400 mm,3kg,Black,Plastic
35,Microwave Oven,2,1000W microwave oven with grill function,199.99,80,Supplier Y,Manufacturer Y,24 months,MO-1KW,2024-10-25,450x350x300 mm,15kg,White,Metal
36,Air Fryer,2,Digital air fryer with 5L capacity,129.99,120,Supplier Z,Manufacturer Z,24 months,AF-5L,2024-11-01,300x300x350 mm,5kg,Black,Plastic
37,Smart Refrigerator,2,Double-door refrigerator with smart features,1499.99,40,Supplier AA,Manufacturer AA,36 months,SR-DBL,2024-11-10,900x700x1800 mm,100kg,Silver,Metal
38,Washing Machine,2,8kg washing machine with smart control,599.99,50,Supplier BB,Manufacturer BB,24 months,WM-8KG,2024-11-20,600x600x850 mm,60kg,White,Metal
39,Dishwasher,2,Integrated dishwasher with 12 place settings,499.99,70,Supplier CC,Manufacturer CC,24 months,DW-12PS,2024-11-25,600x600x850 mm,50kg,Silver,Metal
40,Smart Oven,2,Smart oven with Wi-Fi and app control,699.99,60,Supplier DD,Manufacturer DD,24 months,SO-WIFI,2024-12-01,600x600x850 mm,55kg,Black,Metal
41,Robot Lawn Mower,2,Automatic lawn mower with app control,799.99,40,Supplier EE,Manufacturer EE,24 months,RLM-01,2024-12-10,400x400x250 mm,10kg,Green,Plastic
42,Smart Coffee Maker,2,Wi-Fi enabled coffee maker with grinder,199.99,100,Supplier FF,Manufacturer FF,24 months,SCM-01,2024-12-15,250x200x350 mm,5kg,Black,Plastic
43,Electric Toothbrush,3,Rechargeable electric toothbrush with timer,49.99,200,Supplier GG,Manufacturer GG,12 months,ET-01,2024-12-20,250x30x30 mm,200g,White,Plastic
44,Hair Dryer Pro,3,Professional hair dryer with 3 heat settings,79.99,150,Supplier HH,Manufacturer HH,24 months,HDP-01,2025-01-01,250x100x250 mm,1kg,Black,Plastic
45,Electric Shaver,3,Rechargeable electric shaver with 5 heads,99.99,150,Supplier II,Manufacturer II,12 months,ES-5H,2025-01-10,150x60x60 mm,300g,Silver,Plastic
46,Smart Mirror,3,Smart mirror with LED lights and Bluetooth,149.99,80,Supplier JJ,Manufacturer JJ,24 months,SM-01,2025-01-15,600x450x30 mm,5kg,White,Glass
47,Digital Thermometer,3,Non-contact infrared digital thermometer,29.99,300,Supplier KK,Manufacturer KK,12 months,DT-IR,2025-01-20,150x50x30 mm,100g,White,Plastic
48,Fitness Tracker,3,Fitness tracker with heart rate monitor,49.99,200,Supplier LL,Manufacturer LL,12 months,FT-HRM,2025-01-25,250x20x10 mm,30g,Black,Plastic
49,Air Purifier,2,Air purifier with HEPA filter,199.99,100,Supplier MM,Manufacturer MM,24 months,AP-HEPA,2025-02-01,400x400x600 mm,8kg,White,Plastic
50,Dehumidifier,2,Dehumidifier with 20L/day capacity,299.99,70,Supplier NN,Manufacturer NN,24 months,DH-20L,2025-02-10,350x250x500 mm,10kg,White,Plastic
51,Electric Heater,2,Electric heater with thermostat,79.99,200,Supplier OO,Manufacturer OO,12 months,EH-01,2025-02-15,400x150x500 mm,4kg,Black,Metal
52,Smart Light Switch,1,Wi-Fi enabled smart light switch,39.99,300,Supplier PP,Manufacturer PP,24 months,SLS-01,2025-02-20,120x70x40 mm,150g,White,Plastic
53,Smart Door Lock,1,Smart door lock with keypad and app control,199.99,100,Supplier QQ,Manufacturer QQ,24 months,SDL-01,2025-02-25,200x70x40 mm,2kg,Silver,Metal
54,Smart Smoke Detector,1,Wi-Fi enabled smoke detector with app alerts,59.99,200,Supplier RR,Manufacturer RR,12 months,SSD-01,2025-03-01,120x120x50 mm,200g,White,Plastic
55,Electric Bike,Transportation,Electric bike with 50km range,999.99,50,Supplier SS,Manufacturer SS,24 months,EB-50,2025-03-10,1800x600x1000 mm,25kg,Black,Metal
56,Electric Skateboard,Transportation,Electric skateboard with remote control,299.99,80,Supplier TT,Manufacturer TT,12 months,ESK-01,2025-03-15,800x200x100 mm,8kg,Black,Wood
57,Portable Air Conditioner,2,Portable air conditioner with remote,399.99,60,Supplier UU,Manufacturer UU,24 months,PAC-01,2025-03-20,400x300x800 mm,25kg,White,Plastic
58,Ceiling Fan,2,Ceiling fan with remote control,99.99,150,Supplier VV,Manufacturer VV,12 months,CF-01,2025-03-25,1400x1400x400 mm,5kg,White,Metal
59,Electric Grill,2,Electric grill with adjustable temperature,129.99,100,Supplier WW,Manufacturer WW,24 months,EG-01,2025-04-01,500x400x150 mm,6kg,Black,Metal
60,Smart Air Conditioner,2,Smart air conditioner with Wi-Fi control,599.99,50,Supplier XX,Manufacturer XX,36 months,SAC-01,2025-04-10,900x350x600 mm,30kg,White,Plastic
61,Smart Sprinkler,2,Wi-Fi enabled smart sprinkler system,199.99,100,Supplier YY,Manufacturer YY,24 months,SS-01,2025-04-15,300x300x100 mm,2kg,Green,Plastic
62,Electric Scooter Pro,Transportation,High-performance electric scooter,599.99,70,Supplier ZZ,Manufacturer ZZ,24 months,ESP-01,2025-04-20,1200x300x1200 mm,20kg,Black,Metal
63,Water Purifier,2,Under-sink water purifier with filter,199.99,100,Supplier AAA,Manufacturer AAA,24 months,WP-01,2025-04-25,400x150x450 mm,5kg,White,Plastic
64,Portable Generator,2,Portable generator with 2KW output,499.99,50,Supplier BBB,Manufacturer BBB,24 months,PG-2KW,2025-05-01,600x400x500 mm,20kg,Black,Metal
65,Wireless Router,1,High-speed wireless router with 4 antennas,129.99,200,Supplier CCC,Manufacturer CCC,12 months,WR-4A,2025-05-10,250x150x50 mm,500g,Black,Plastic
66,Smart Doorbell,1,Wi-Fi enabled doorbell with camera,99.99,150,Supplier DDD,Manufacturer DDD,24 months,SD-01,2025-05-15,150x70x40 mm,300g,White,Plastic
67,Electric Blanket,2,Electric blanket with dual controls,79.99,100,Supplier EEE,Manufacturer EEE,12 months,EBL-01,2025-05-20,1800x1500 mm,2kg,Blue,Textile
68,Smart Water Leak Detector,2,Wi-Fi enabled water leak detector,49.99,200,Supplier FFF,Manufacturer FFF,12 months,SWLD-01,2025-05-25,100x100x30 mm,150g,White,Plastic
69,Electric Pressure Cooker,2,Electric pressure cooker with 6L capacity,129.99,70,Supplier GGG,Manufacturer GGG,24 months,EPC-6L,2025-06-01,350x350x350 mm,6kg,Silver,Stainless Steel
70,Electric Rice Cooker,2,Electric rice cooker with 3L capacity,59.99,120,Supplier HHH,Manufacturer HHH,12 months,ERC-3L,2025-06-10,300x300x250 mm,3kg,White,Plastic
71,Smart Garage Door Opener,2,Wi-Fi enabled smart garage door opener,199.99,80,Supplier III,Manufacturer III,24 months,SGDO-01,2025-06-15,300x200x100 mm,4kg,Black,Metal
72,Electric Fireplace,2,Electric fireplace with remote control,399.99,50,Supplier JJJ,Manufacturer JJJ,24 months,EF-01,2025-06-20,900x400x800 mm,20kg,Black,Metal
73,Smart Weather Station,2,Wi-Fi enabled weather station with app,149.99,100,Supplier KKK,Manufacturer KKK,12 months,SWS-01,2025-06-25,200x150x50 mm,1kg,White,Plastic
74,Smart Baby Monitor,1,Wi-Fi enabled baby monitor with camera,99.99,150,Supplier LLL,Manufacturer LLL,24 months,SBM-01,2025-07-01,150x100x50 mm,500g,White,Plastic
75,Electric Toothbrush Pro,3,Advanced electric toothbrush with app,79.99,200,Supplier MMM,Manufacturer MMM,12 months,ETP-01,2025-07-05,250x30x30 mm,200g,White,Plastic
76,Smart Glasses,1,Smart glasses with AR functionality,399.99,60,Supplier NNN,Manufacturer NNN,12 months,SG-01,2025-07-10,150x50x50 mm,100g,Black,Plastic
77,Smart Bike Lock,1,Smart bike lock with Bluetooth control,59.99,200,Supplier OOO,Manufacturer OOO,12 months,SBL-01,2025-07-15,200x70x30 mm,300g,Black,Metal
78,Electric Deep Fryer,2,Electric deep fryer with 3L capacity,79.99,100,Supplier PPP,Manufacturer PPP,12 months,EDF-3L,2025-07-20,300x300x350 mm,4kg,Black,Metal
79,Electric Can Opener,2,Automatic electric can opener,29.99,150,Supplier QQQ,Manufacturer QQQ,12 months,ECO-01,2025-07-25,200x100x150 mm,1kg,White,Plastic
80,Smart Pet Feeder,2,Wi-Fi enabled automatic pet feeder,99.99,80,Supplier RRR,Manufacturer RRR,24 months,SPF-01,2025-08-01,300x300x350 mm,5kg,White,Plastic
81,Digital Photo Frame,1,Wi-Fi enabled digital photo frame,129.99,100,Supplier SSS,Manufacturer SSS,12 months,DPF-01,2025-08-05,300x200x50 mm,1kg,Black,Plastic
82,Electric Griddle,2,Electric griddle with adjustable temperature,99.99,90,Supplier TTT,Manufacturer TTT,12 months,EGD-01,2025-08-10,500x300x100 mm,4kg,Black,Metal
83,Smart Floodlight,1,Wi-Fi enabled smart floodlight with camera,149.99,70,Supplier UUU,Manufacturer UUU,24 months,SFL-01,2025-08-15,250x150x100 mm,2kg,White,Metal
84,Electric Knife,2,Electric knife with serrated blades,49.99,150,Supplier VVV,Manufacturer VVV,12 months,EK-01,2025-08-20,300x50x50 mm,500g,Silver,Metal
85,Smart Bedside Lamp,2,Wi-Fi enabled smart bedside lamp,79.99,100,Supplier WWW,Manufacturer WWW,24 months,SBL-01,2025-08-25,150x150x300 mm,1kg,White,Plastic
86,Electric Chainsaw,2,Electric chainsaw with 18-inch blade,199.99,50,Supplier XXX,Manufacturer XXX,24 months,ECS-18,2025-09-01,900x300x150 mm,7kg,Black,Metal
87,Smart Light Strip,2,Wi-Fi enabled smart light strip,39.99,200,Supplier YYY,Manufacturer YYY,12 months,SLS-01,2025-09-05,5000x10x10 mm,300g,White,Plastic
88,Electric Treadmill,2,Electric treadmill with app control,599.99,30,Supplier ZZZ,Manufacturer ZZZ,24 months,ET-01,2025-09-10,1800x800x1500 mm,70kg,Black,Metal
89,Smart Door Sensor,1,Wi-Fi enabled door/window sensor,29.99,300,Supplier AAAA,Manufacturer AAAA,12 months,SDS-01,2025-09-15,100x50x20 mm,100g,White,Plastic
90,Smart Air Quality Monitor,2,Wi-Fi enabled air quality monitor,99.99,100,Supplier BBBB,Manufacturer BBBB,12 months,SAQM-01,2025-09-20,150x100x50 mm,300g,White,Plastic
91,Smart Water Heater,2,Wi-Fi enabled smart water heater,399.99,40,Supplier CCCC,Manufacturer CCCC,24 months,SWH-01,2025-09-25,400x300x800 mm,25kg,White,Metal
92,Smart Garden Light,2,Wi-Fi enabled garden light with solar panel,49.99,200,Supplier DDDD,Manufacturer DDDD,12 months,SGL-01,2025-10-01,100x100x300 mm,500g,Black,Plastic
93,Electric Pressure Washer,2,Electric pressure washer with 1500W motor,199.99,60,Supplier EEEE,Manufacturer EEEE,12 months,EPW-1500,2025-10-05,400x300x800 mm,10kg,Black,Metal
94,Smart Fan,2,Wi-Fi enabled fan with remote control,99.99,80,Supplier FFFF,Manufacturer FFFF,24 months,SF-01,2025-10-10,400x400x1200 mm,5kg,White,Plastic
95,Electric Steam Mop,2,Electric steam mop with 2-in-1 functionality,129.99,100,Supplier GGGG,Manufacturer GGGG,12 months,ESM-2IN1,2025-10-15,300x150x1200 mm,4kg,White,Plastic
96,Smart Thermometer,1,Smart thermometer with Bluetooth connectivity,29.99,200,Supplier HHHH,Manufacturer HHHH,12 months,ST-01,2025-10-20,150x50x30 mm,100g,White,Plastic
97,Electric Juicer,2,Electric juicer with 1L capacity,99.99,80,Supplier IIII,Manufacturer IIII,12 months,EJ-1L,2025-10-25,300x200x300 mm,3kg,Silver,Plastic
98,Smart Home Assistant,1,Voice-controlled smart home assistant,149.99,70,Supplier JJJJ,Manufacturer JJJJ,24 months,SHA-01,2025-11-01,100x100x200 mm,500g,Black,Plastic
99,Smart Alarm Clock,1,Wi-Fi enabled alarm clock with app control,49.99,150,Supplier KKKK,Manufacturer KKKK,12 months,SAC-01,2025-11-05,150x100x50 mm,300g,Black,Plastic
100,Electric Slow Cooker,2,Electric slow cooker with 6L capacity,79.99,70,Supplier LLLL,Manufacturer LLLL,12 months,ESC-6L,2025-11-10,350x350x300 mm,5kg,Black,Metal
101,Smart Power Strip,1,Wi-Fi enabled power strip with surge protection,49.99,150,Supplier MMMM,Manufacturer MMMM,24 months,SPS-01,2025-11-15,300x100x50 mm,600g,White,Plastic
102,Electric Grill Pan,2,Electric grill pan with non-stick surface,59.99,120,Supplier NNNN,Manufacturer NNNN,12 months,EGP-01,2025-11-20,400x300x100 mm,2kg,Black,Metal
103,Smart Home Hub,1,Smart home hub with voice control,199.99,80,Supplier OOOO,Manufacturer OOOO,24 months,SHH-01,2025-11-25,150x150x50 mm,700g,Black,Plastic
104,Electric Blanket Pro,2,Electric blanket with dual temperature control,99.99,100,Supplier PPPP,Manufacturer PPPP,12 months,EBP-01,2025-12-01,2000x1800 mm,2.5kg,Blue,Textile
