Product_ID,Product_Name,Category,Description,Price,Stock_Quantity,Supplier,Manufacturer,Warranty_Period,SKU,Release_Date,Dimensions,Weight,Color,Material
105,Smart Water Bottle,3,Smart water bottle with hydration reminders,49.99,200,Supplier QQQQ,Manufacturer QQQQ,12 months,SWB-01,2025-12-05,250x70x70 mm,300g,White,Plastic
106,Electric Ice Cream Maker,2,Electric ice cream maker with 1.5L capacity,89.99,60,Supplier RRRR,Manufacturer RRRR,12 months,EIM-1.5L,2025-12-10,300x300x350 mm,3.5kg,Silver,Plastic
107,Smart Light Bulb,1,Wi-Fi enabled smart light bulb with RGB colors,29.99,300,Supplier SSSS,Manufacturer SSSS,24 months,SLB-RGB,2025-12-15,60x60x120 mm,200g,White,Plastic
108,Electric Pizza Oven,2,Electric pizza oven with 12-inch capacity,149.99,80,Supplier TTTT,Manufacturer TTTT,12 months,EPO-12,2025-12-20,400x400x200 mm,5kg,Black,Metal
109,Smart Window Shade,2,Wi-Fi enabled smart window shade,99.99,90,Supplier UUUU,Manufacturer UUUU,24 months,SWS-01,2026-01-01,2000x1500 mm,3kg,White,Textile
110,Electric Hot Plate,2,Electric hot plate with adjustable temperature,49.99,150,Supplier VVVV,Manufacturer VVVV,12 months,EHP-01,2026-01-05,300x300x100 mm,2kg,Black,Metal
111,Smart Pressure Cooker,2,Wi-Fi enabled smart pressure cooker with 6L capacity,179.99,70,Supplier WWWW,Manufacturer WWWW,24 months,SPC-6L,2026-01-10,350x350x350 mm,6kg,Silver,Metal
112,Electric Waffle Maker,2,Electric waffle maker with non-stick surface,59.99,120,Supplier XXXX,Manufacturer XXXX,12 months,EWM-01,2026-01-15,300x300x150 mm,3kg,Black,Metal
113,Smart Pet Collar,3,Smart pet collar with GPS tracking,79.99,150,Supplier YYYY,Manufacturer YYYY,12 months,SPC-01,2026-01-20,400x50x20 mm,150g,Black,Plastic
114,Electric Kettle Pro,2,Electric kettle with temperature control,79.99,200,Supplier ZZZZ,Manufacturer ZZZZ,12 months,EKP-01,2026-01-25,250x250x300 mm,1.5kg,Silver,Metal
115,Smart Oven Pro,2,Smart oven with Wi-Fi and app control,799.99,40,Supplier AAAA1,Manufacturer AAAA1,24 months,SOP-01,2026-02-01,600x600x900 mm,40kg,Black,Metal
116,Electric Skillet,2,Electric skillet with non-stick surface,69.99,100,Supplier BBBB1,Manufacturer BBBB1,12 months,ES-01,2026-02-05,400x300x100 mm,2.5kg,Black,Metal
117,Smart Home Security System,1,Complete smart home security system with app control,299.99,60,Supplier CCCC1,Manufacturer CCCC1,24 months,SHSS-01,2026-02-10,500x400x200 mm,5kg,White,Plastic
118,Electric Space Heater,2,Electric space heater with adjustable thermostat,59.99,150,Supplier DDDD1,Manufacturer DDDD1,12 months,ESH-01,2026-02-15,400x200x500 mm,4kg,Black,Metal
119,Smart Coffee Maker Pro,2,Wi-Fi enabled coffee maker with grinder and app control,249.99,50,Supplier EEEE1,Manufacturer EEEE1,24 months,SCMP-01,2026-02-20,300x250x400 mm,6kg,Black,Plastic
120,Electric Popcorn Maker,2,Electric popcorn maker with 1L capacity,39.99,200,Supplier FFFF1,Manufacturer FFFF1,12 months,EPM-1L,2026-03-01,300x300x400 mm,2kg,Red,Plastic
121,Smart Bike Computer,1,Smart bike computer with GPS and app sync,129.99,90,Supplier GGGG1,Manufacturer GGGG1,12 months,SBC-01,2026-03-05,100x50x20 mm,150g,Black,Plastic
122,Electric Yogurt Maker,2,Electric yogurt maker with 1L capacity,49.99,150,Supplier HHHH1,Manufacturer HHHH1,12 months,EYM-1L,2026-03-10,200x200x300 mm,2kg,White,Plastic
123,Smart Light Switch Pro,1,Wi-Fi enabled light switch with dimmer,49.99,200,Supplier IIII1,Manufacturer IIII1,24 months,SLSP-01,2026-03-15,120x70x40 mm,150g,White,Plastic
124,Electric Hedge Trimmer,2,Electric hedge trimmer with 18-inch blade,99.99,80,Supplier JJJJ1,Manufacturer JJJJ1,12 months,EHT-18,2026-03-20,1000x200x150 mm,4kg,Black,Metal
125,Smart Garage Door Controller,2,Wi-Fi enabled garage door controller,199.99,60,Supplier KKKK1,Manufacturer KKKK1,24 months,SGDC-01,2026-03-25,300x200x100 mm,3kg,Black,Metal
126,Electric Blanket XL,2,Extra large electric blanket with dual control,129.99,70,Supplier LLLL1,Manufacturer LLLL1,12 months,EBXL-01,2026-04-01,2200x2000 mm,3kg,Blue,Textile
127,Smart Ceiling Fan,2,Wi-Fi enabled ceiling fan with remote control,249.99,50,Supplier MMMM1,Manufacturer MMMM1,24 months,SCF-01,2026-04-05,1400x1400x400 mm,6kg,White,Metal
128,Electric Food Steamer,2,Electric food steamer with 3-tier capacity,69.99,90,Supplier NNNN1,Manufacturer NNNN1,12 months,EFS-3T,2026-04-10,300x300x400 mm,4kg,Silver,Plastic
129,Smart Water Heater Pro,2,Wi-Fi enabled water heater with app control,499.99,40,Supplier OOOO1,Manufacturer OOOO1,24 months,SWHP-01,2026-04-15,500x400x900 mm,30kg,White,Metal
130,Electric Food Processor,2,Electric food processor with 12-cup capacity,129.99,100,Supplier PPPP1,Manufacturer PPPP1,12 months,EFP-12,2026-04-20,400x300x400 mm,5kg,Black,Plastic
131,Smart Garden Controller,2,Wi-Fi enabled garden controller with app control,149.99,70,Supplier QQQQ1,Manufacturer QQQQ1,24 months,SGC-01,2026-04-25,300x200x100 mm,2kg,White,Plastic
132,Electric Cheese Grater,2,Electric cheese grater with stainless steel blades,39.99,150,Supplier RRRR1,Manufacturer RRRR1,12 months,ECG-01,2026-05-01,200x100x100 mm,1kg,Silver,Plastic
133,Smart Smoke Detector,1,Wi-Fi enabled smoke detector with app alerts,49.99,200,Supplier SSSS1,Manufacturer SSSS1,24 months,SSD-01,2026-05-05,120x120x40 mm,300g,White,Plastic
134,Electric Shoe Polisher,2,Electric shoe polisher with dual brushes,59.99,100,Supplier TTTT1,Manufacturer TTTT1,12 months,ESP-01,2026-05-10,200x150x200 mm,2kg,Black,Plastic
135,Smart Lock Pro,1,Wi-Fi enabled smart lock with keypad and app control,199.99,90,Supplier UUUU1,Manufacturer UUUU1,24 months,SLP-01,2026-05-15,150x70x50 mm,800g,Silver,Metal
136,Electric Hair Straightener,3,Electric hair straightener with ceramic plates,39.99,200,Supplier VVVV1,Manufacturer VVVV1,12 months,EHS-01,2026-05-20,300x30x30 mm,400g,Black,Plastic
137,Smart Home Thermostat,2,Wi-Fi enabled smart thermostat with app control,249.99,70,Supplier WWWW1,Manufacturer WWWW1,24 months,SHT-01,2026-05-25,150x150x50 mm,400g,White,Plastic
138,Electric Air Fryer Pro,2,Electric air fryer with 5L capacity and digital display,199.99,60,Supplier XXXX1,Manufacturer XXXX1,12 months,EAFP-5L,2026-06-01,400x300x400 mm,5kg,Black,Plastic
139,Smart Doorbell Pro,1,Wi-Fi enabled doorbell with camera and two-way audio,149.99,80,Supplier YYYY1,Manufacturer YYYY1,24 months,SDP-01,2026-06-05,150x70x40 mm,400g,White,Plastic
140,Electric Meat Grinder,2,Electric meat grinder with stainless steel blades,99.99,90,Supplier ZZZZ1,Manufacturer ZZZZ1,12 months,EMG-01,2026-06-10,400x200x300 mm,4kg,Silver,Metal
141,Smart Bed Pro,2,Wi-Fi enabled smart bed with sleep tracking,999.99,30,Supplier AAAA2,Manufacturer AAAA2,24 months,SBP-01,2026-06-15,2200x2000x500 mm,100kg,Black,Textile
142,Electric Window Cleaner,2,Electric window cleaner with vacuum suction,79.99,150,Supplier BBBB2,Manufacturer BBBB2,12 months,EWC-01,2026-06-20,300x150x300 mm,3kg,White,Plastic
143,Smart Water Filter,2,Wi-Fi enabled water filter with app notifications,129.99,70,Supplier CCCC2,Manufacturer CCCC2,24 months,SWF-01,2026-06-25,400x300x400 mm,5kg,White,Plastic
144,Electric Heated Towel Rack,2,Electric heated towel rack with timer,149.99,60,Supplier DDDD2,Manufacturer DDDD2,12 months,EHTR-01,2026-07-01,600x400x1200 mm,10kg,Silver,Metal
145,Smart Baby Stroller,3,Smart baby stroller with GPS tracking and app control,499.99,40,Supplier EEEE2,Manufacturer EEEE2,24 months,SBS-01,2026-07-05,1200x800x1000 mm,15kg,Black,Textile
146,Electric Dehumidifier,2,Electric dehumidifier with 20L capacity,199.99,90,Supplier FFFF2,Manufacturer FFFF2,12 months,EDH-20L,2026-07-10,400x300x600 mm,12kg,White,Plastic
147,Smart Blender,2,Wi-Fi enabled blender with app control,149.99,80,Supplier GGGG2,Manufacturer GGGG2,24 months,SB-01,2026-07-15,300x300x400 mm,4kg,Black,Plastic
148,Electric Pasta Maker,2,Electric pasta maker with adjustable thickness,99.99,70,Supplier HHHH2,Manufacturer HHHH2,12 months,EPM-01,2026-07-20,400x200x300 mm,4kg,Silver,Metal
149,Smart Garden Sprinkler,2,Wi-Fi enabled garden sprinkler with app control,99.99,90,Supplier IIII2,Manufacturer IIII2,24 months,SGS-01,2026-07-25,400x400x300 mm,3kg,Green,Plastic
150,Electric Standing Desk,2,Electric standing desk with adjustable height,399.99,50,Supplier JJJJ2,Manufacturer JJJJ2,24 months,ESD-01,2026-08-01,1400x800x1200 mm,30kg,Black,Metal
151,Smart Remote Control,1,Universal smart remote control with Wi-Fi,59.99,150,Supplier KKKK2,Manufacturer KKKK2,24 months,SRC-01,2026-08-05,150x50x30 mm,200g,Black,Plastic
152,Electric Towel Warmer,2,Electric towel warmer with adjustable temperature,199.99,60,Supplier LLLL2,Manufacturer LLLL2,12 months,ETW-01,2026-08-10,400x300x1200 mm,8kg,White,Metal
153,Smart TV Pro,1,Wi-Fi enabled smart TV with 4K resolution,999.99,40,Supplier MMMM2,Manufacturer MMMM2,24 months,STVP-01,2026-08-15,1400x900x100 mm,25kg,Black,Plastic
154,Electric Toothbrush Set,3,Electric toothbrush set with multiple heads,79.99,100,Supplier NNNN2,Manufacturer NNNN2,12 months,ETS-01,2026-08-20,250x150x100 mm,1kg,White,Plastic
155,Smart Door Lock Pro,1,Wi-Fi enabled door lock with fingerprint scanner,249.99,70,Supplier OOOO2,Manufacturer OOOO2,24 months,SDLP-01,2026-08-25,150x70x50 mm,800g,Silver,Metal
156,Electric Oven Pro,2,Electric oven with convection and steam functions,499.99,50,Supplier PPPP2,Manufacturer PPPP2,12 months,EOP-01,2026-09-01,600x600x900 mm,50kg,Black,Metal
157,Smart Air Purifier Pro,2,Wi-Fi enabled air purifier with app control,299.99,60,Supplier QQQQ2,Manufacturer QQQQ2,24 months,SAPP-01,2026-09-05,400x400x700 mm,8kg,White,Plastic
158,Electric Coffee Grinder,2,Electric coffee grinder with adjustable grind size,49.99,150,Supplier RRRR2,Manufacturer RRRR2,12 months,ECG-01,2026-09-10,200x100x200 mm,1.5kg,Black,Plastic
159,Smart Doorbell Elite,1,Wi-Fi enabled doorbell with camera and facial recognition,199.99,80,Supplier SSSS2,Manufacturer SSSS2,24 months,SDE-01,2026-09-15,150x70x40 mm,400g,White,Plastic
160,Electric Pressure Cooker XL,2,Electric pressure cooker with 8L capacity,199.99,70,Supplier TTTT2,Manufacturer TTTT2,12 months,EPC-8L,2026-09-20,400x400x400 mm,7kg,Silver,Metal
161,Smart Thermostat Pro,2,Wi-Fi enabled thermostat with learning capabilities,299.99,60,Supplier UUUU2,Manufacturer UUUU2,24 months,STP-01,2026-09-25,150x150x50 mm,400g,White,Plastic
162,Electric Food Chopper,2,Electric food chopper with 1L capacity,39.99,120,Supplier VVVV2,Manufacturer VVVV2,12 months,EFC-1L,2026-10-01,200x200x300 mm,2kg,Black,Plastic
163,Smart Refrigerator Pro,2,Wi-Fi enabled refrigerator with smart features,1999.99,30,Supplier WWWW2,Manufacturer WWWW2,24 months,SRP-01,2026-10-05,800x700x1800 mm,80kg,Silver,Metal
164,Electric Bread Maker,2,Electric bread maker with multiple settings,149.99,100,Supplier XXXX2,Manufacturer XXXX2,12 months,EBM-01,2026-10-10,300x300x400 mm,5kg,White,Plastic
165,Smart Alarm Clock,1,Wi-Fi enabled alarm clock with smart features,49.99,150,Supplier YYYY2,Manufacturer YYYY2,24 months,SAC-01,2026-10-15,150x150x100 mm,400g,Black,Plastic
166,Electric Deep Fryer,2,Electric deep fryer with 3L capacity,79.99,90,Supplier ZZZZ2,Manufacturer ZZZZ2,12 months,EDF-3L,2026-10-20,300x300x400 mm,4kg,Black,Metal
167,Smart Home Speaker,1,Wi-Fi enabled home speaker with voice control,99.99,100,Supplier AAAA3,Manufacturer AAAA3,24 months,SHS-01,2026-11-01,150x150x300 mm,2kg,White,Plastic
168,Electric Hair Dryer Pro,3,Electric hair dryer with multiple heat settings,49.99,150,Supplier BBBB3,Manufacturer BBBB3,12 months,EHD-01,2026-11-05,300x100x200 mm,1kg,Black,Plastic
169,Smart Mirror Pro,3,Wi-Fi enabled smart mirror with built-in display,499.99,40,Supplier CCCC3,Manufacturer CCCC3,24 months,SMP-01,2026-11-10,600x800x50 mm,10kg,Silver,Glass
170,Electric Carpet Cleaner,2,Electric carpet cleaner with powerful suction,199.99,80,Supplier DDDD3,Manufacturer DDDD3,12 months,ECC-01,2026-11-15,400x300x1000 mm,8kg,Black,Plastic
171,Smart Water Dispenser,2,Wi-Fi enabled water dispenser with app control,299.99,60,Supplier EEEE3,Manufacturer EEEE3,24 months,SWD-01,2026-11-20,300x300x1000 mm,10kg,White,Plastic
172,Electric Can Opener,2,Electric can opener with one-touch operation,29.99,200,Supplier FFFF3,Manufacturer FFFF3,12 months,ECO-01,2026-12-01,200x100x100 mm,800g,Silver,Plastic
173,Smart Thermos,3,Wi-Fi enabled thermos with temperature display,49.99,120,Supplier GGGG3,Manufacturer GGGG3,24 months,ST-01,2026-12-05,300x100x100 mm,500g,Black,Plastic
174,Electric Massage Chair,3,Electric massage chair with multiple settings,1499.99,30,Supplier HHHH3,Manufacturer HHHH3,12 months,EMC-01,2026-12-10,1200x800x1500 mm,100kg,Black,Textile
175,Smart Fan Pro,2,Wi-Fi enabled fan with remote control and app sync,99.99,100,Supplier IIII3,Manufacturer IIII3,24 months,SFP-01,2026-12-15,400x400x1000 mm,7kg,White,Plastic
176,Electric Juicer Pro,2,Electric juicer with multiple speed settings,129.99,70,Supplier JJJJ3,Manufacturer JJJJ3,12 months,EJP-01,2026-12-20,300x300x400 mm,5kg,Black,Plastic
177,Smart Refrigerator Elite,2,Wi-Fi enabled refrigerator with advanced features,2999.99,20,Supplier KKKK3,Manufacturer KKKK3,24 months,SRE-01,2027-01-01,900x800x1800 mm,90kg,Silver,Metal
178,Electric Knife Sharpener,2,Electric knife sharpener with diamond-coated wheels,59.99,120,Supplier LLLL3,Manufacturer LLLL3,12 months,EKS-01,2027-01-05,200x100x100 mm,1kg,Black,Plastic
179,Smart Mattress Pro,3,Wi-Fi enabled mattress with sleep tracking and app sync,999.99,30,Supplier MMMM3,Manufacturer MMMM3,24 months,SMP-01,2027-01-10,2000x1800x300 mm,50kg,White,Textile
180,Electric Blanket Pro XL,2,Extra large electric blanket with app control,149.99,60,Supplier NNNN3,Manufacturer NNNN3,12 months,EBPXL-01,2027-01-15,2400x2200 mm,3kg,Blue,Textile
181,Smart Coffee Table,2,Wi-Fi enabled coffee table with charging ports,299.99,40,Supplier OOOO3,Manufacturer OOOO3,24 months,SCT-01,2027-01-20,1000x600x400 mm,20kg,Black,Wood
182,Electric BBQ Grill,2,Electric BBQ grill with adjustable temperature,199.99,80,Supplier PPPP3,Manufacturer PPPP3,12 months,EBG-01,2027-02-01,600x400x200 mm,10kg,Black,Metal
183,Smart Microwave Oven,2,Wi-Fi enabled microwave oven with app control,399.99,60,Supplier QQQQ3,Manufacturer QQQQ3,24 months,SMO-01,2027-02-05,500x400x300 mm,15kg,Black,Plastic
184,Electric Desk Lamp,2,Electric desk lamp with adjustable brightness,49.99,200,Supplier RRRR3,Manufacturer RRRR3,12 months,EDL-01,2027-02-10,200x200x400 mm,2kg,White,Plastic
185,Smart Dishwasher Pro,2,Wi-Fi enabled dishwasher with app control,799.99,40,Supplier SSSS3,Manufacturer SSSS3,24 months,SDP-01,2027-02-15,600x600x850 mm,45kg,Silver,Metal
186,Electric Lawn Mower Pro,2,Electric lawn mower with adjustable height,499.99,50,Supplier TTTT3,Manufacturer TTTT3,12 months,ELMP-01,2027-03-01,1500x800x1000 mm,20kg,Green,Metal
187,Smart Garden Light,2,Wi-Fi enabled garden light with app control,99.99,90,Supplier UUUU3,Manufacturer UUUU3,24 months,SGL-01,2027-03-05,100x100x400 mm,1kg,Black,Plastic
188,Electric Air Conditioner,2,Electric air conditioner with remote control,999.99,40,Supplier VVVV3,Manufacturer VVVV3,12 months,EAC-01,2027-03-10,800x700x300 mm,50kg,White,Plastic
189,Smart Door Viewer,1,Wi-Fi enabled door viewer with camera and app control,99.99,80,Supplier WWWW3,Manufacturer WWWW3,24 months,SDV-01,2027-03-15,100x100x50 mm,300g,Black,Plastic
190,Electric Rice Cooker Pro,2,Electric rice cooker with multiple settings,149.99,70,Supplier XXXX3,Manufacturer XXXX3,12 months,ERCP-01,2027-03-20,300x300x300 mm,4kg,White,Plastic
191,Smart Shower Head,2,Wi-Fi enabled shower head with app control,129.99,60,Supplier YYYY3,Manufacturer YYYY3,24 months,SSH-01,2027-04-01,200x200x100 mm,1kg,Silver,Plastic
192,Electric Water Heater Pro,2,Electric water heater with digital display,299.99,50,Supplier ZZZZ3,Manufacturer ZZZZ3,12 months,EWH-01,2027-04-05,500x400x900 mm,20kg,White,Metal
193,Smart Home Camera Pro,1,Wi-Fi enabled home camera with 4K resolution,199.99,90,Supplier AAAA4,Manufacturer AAAA4,24 months,SHCP-01,2027-04-10,100x100x100 mm,400g,White,Plastic
194,Electric Citrus Juicer,2,Electric citrus juicer with stainless steel filter,49.99,150,Supplier BBBB4,Manufacturer BBBB4,12 months,ECJ-01,2027-04-15,200x200x300 mm,2kg,Silver,Plastic
195,Smart Home Gateway,1,Wi-Fi enabled home gateway with multiple device support,99.99,100,Supplier CCCC4,Manufacturer CCCC4,24 months,SHG-01,2027-04-20,150x150x50 mm,500g,White,Plastic
196,Electric Popcorn Maker,2,Electric popcorn maker with quick heating,39.99,150,Supplier DDDD4,Manufacturer DDDD4,12 months,EPM-01,2027-05-01,200x200x300 mm,1kg,Red,Plastic
197,Smart Light Bulb Pro,2,Wi-Fi enabled light bulb with app control and color change,29.99,200,Supplier EEEE4,Manufacturer EEEE4,24 months,SLBP-01,2027-05-05,60x60x120 mm,100g,White,Plastic
198,Electric Kettle Pro,2,Electric kettle with temperature control,79.99,90,Supplier FFFF4,Manufacturer FFFF4,12 months,EKP-01,2027-05-10,200x200x300 mm,2kg,Silver,Plastic
199,Smart Outlet Pro,2,Wi-Fi enabled outlet with app control and energy monitoring,49.99,150,Supplier GGGG4,Manufacturer GGGG4,24 months,SOP-01,2027-05-15,100x50x50 mm,200g,White,Plastic
200,Electric Coffee Machine,2,Electric coffee machine with programmable settings,199.99,80,Supplier HHHH4,Manufacturer HHHH4,12 months,ECM-01,2027-05-20,300x300x400 mm,5kg,Black,Plastic