Category_ID,Category_Name,Parent_Category_ID,Description,Created_Date,Last_Updated,Active_Status,Image_URL,Meta_Tags,SEO_Description
1,Electronics,,Products related to electronic devices and gadgets,2024-01-01,2024-01-15,Active,http://example.com/images/electronics.jpg,Electronics,Top electronic gadgets and devices
2,Home Appliances,,Appliances used in the home for various tasks,2024-01-02,2024-01-16,Active,http://example.com/images/home_appliances.jpg,Home Appliances,Best home appliances for everyday use
3,Personal Care,,Products designed for personal health and grooming,2024-01-03,2024-01-17,Active,http://example.com/images/personal_care.jpg,Personal Care,Personal care products for health and grooming
4,Kitchen Appliances,2,Appliances used specifically in the kitchen,2024-01-04,2024-01-18,Active,http://example.com/images/kitchen_appliances.jpg,Kitchen Appliances,Essential kitchen appliances
5,Furniture,,Furniture items for home and office,2024-01-05,2024-01-19,Active,http://example.com/images/furniture.jpg,Furniture,Quality furniture for home and office
6,Outdoor Equipment,,Equipment designed for outdoor use,2024-01-06,2024-01-20,Active,http://example.com/images/outdoor_equipment.jpg,Outdoor Equipment,Durable outdoor equipment
7,Tools,,Various tools for household and professional use,2024-01-07,2024-01-21,Active,http://example.com/images/tools.jpg,Tools,Tools for all your needs
8,Office Supplies,,Products used in an office environment,2024-01-08,2024-01-22,Active,http://example.com/images/office_supplies.jpg,Office Supplies,Office supplies for productivity
9,Entertainment,,Products designed for entertainment purposes,2024-01-09,2024-01-23,Active,http://example.com/images/entertainment.jpg,Entertainment,Top entertainment products
10,Lighting,,Various lighting solutions for home and office,2024-01-10,2024-01-24,Active,http://example.com/images/lighting.jpg,Lighting,Innovative lighting solutions
11,Security,,Products related to home and personal security,2024-01-11,2024-01-25,Active,http://example.com/images/security.jpg,Security,Home and personal security products
12,Fitness,,Products designed for fitness and exercise,2024-01-12,2024-01-26,Active,http://example.com/images/fitness.jpg,Fitness,Fitness products for a healthy lifestyle
13,Automotive,,Products related to cars and vehicles,2024-01-13,2024-01-27,Active,http://example.com/images/automotive.jpg,Automotive,Automotive products for your vehicle
14,Gardening,,Products used for gardening and plant care,2024-01-14,2024-01-28,Active,http://example.com/images/gardening.jpg,Gardening,Gardening tools and accessories
15,Cleaning,,Products used for cleaning tasks,2024-01-15,2024-01-29,Active,http://example.com/images/cleaning.jpg,Cleaning,Cleaning products for your home
16,Health,,Products related to health and wellness,2024-01-16,2024-01-30,Active,http://example.com/images/health.jpg,Health,Health and wellness products
17,Toys,,Products designed for children's entertainment,2024-01-17,2024-01-31,Active,http://example.com/images/toys.jpg,Toys,Fun and educational toys
18,Pet Supplies,,Products for pet care,2024-01-18,2024-02-01,Active,http://example.com/images/pet_supplies.jpg,Pet Supplies,Essential pet supplies
19,Travel,,Products designed for travel and luggage,2024-01-19,2024-02-02,Active,http://example.com/images/travel.jpg,Travel,Travel essentials and accessories
20,Baby Products,,Products for baby care and parenting,2024-01-20,2024-02-03,Active,http://example.com/images/baby_products.jpg,Baby Products,Baby care products
21,Smart Home,1,Products designed for smart home automation,2024-01-21,2024-02-04,Active,http://example.com/images/smart_home.jpg,Smart Home,Smart home automation products
22,Heating & Cooling,,Products related to heating and cooling solutions,2024-01-22,2024-02-05,Active,http://example.com/images/heating_cooling.jpg,Heating & Cooling,Efficient heating and cooling products
23,Bathroom Products,,Products used in the bathroom,2024-01-23,2024-02-06,Active,http://example.com/images/bathroom_products.jpg,Bathroom Products,Bathroom essentials
24,Kitchenware,4,Non-appliance kitchen products,2024-01-24,2024-02-07,Active,http://example.com/images/kitchenware.jpg,Kitchenware,Quality kitchenware items
25,Computer Accessories,1,Accessories for computers and laptops,2024-01-25,2024-02-08,Active,http://example.com/images/computer_accessories.jpg,Computer Accessories,Computer accessories for productivity
26,Mobile Accessories,1,Accessories for mobile devices,2024-01-26,2024-02-09,Active,http://example.com/images/mobile_accessories.jpg,Mobile Accessories,Mobile device accessories
27,Audio,1,Products related to audio and sound,2024-01-27,2024-02-10,Active,http://example.com/images/audio.jpg,Audio,High-quality audio products
28,Visual,1,Products related to visual display,2024-01-28,2024-02-11,Active,http://example.com/images/visual.jpg,Visual,Visual display products
29,Networking,1,Products for networking and internet connectivity,2024-01-29,2024-02-12,Active,http://example.com/images/networking.jpg,Networking,Networking and connectivity solutions
30,Storage,,Products for storage solutions,2024-01-30,2024-02-13,Active,http://example.com/images/storage.jpg,Storage,Efficient storage solutions
31,Decor,,Decorative items for home and office,2024-01-31,2024-02-14,Active,http://example.com/images/decor.jpg,Decor,Decorative products for home and office
32,Textiles,,Textile products for home and personal use,2024-02-01,2024-02-15,Active,http://example.com/images/textiles.jpg,Textiles,High-quality textile products
33,Stationery,,Stationery items for home and office,2024-02-02,2024-02-16,Active,http://example.com/images/stationery.jpg,Stationery,Stationery products for home and office
34,Building Materials,,Materials used for building and construction,2024-02-03,2024-02-17,Active,http://example.com/images/building_materials.jpg,Building Materials,Building and construction materials
35,Automotive Accessories,13,Accessories for cars and vehicles,2024-02-04,2024-02-18,Active,http://example.com/images/automotive_accessories.jpg,Automotive Accessories,Car and vehicle accessories
36,Food & Beverages,,Products related to food and drinks,2024-02-05,2024-02-19,Active,http://example.com/images/food_beverages.jpg,Food & Beverages,Food and beverage products
37,Sports,,Products related to sports and outdoor activities,2024-02-06,2024-02-20,Active,http://example.com/images/sports.jpg,Sports,Sports and outdoor activity products
38,Musical Instruments,,Various musical instruments,2024-02-07,2024-02-21,Active,http://example.com/images/musical_instruments.jpg,Musical Instruments,Musical instruments for all levels
39,Books & Magazines,,Reading materials and publications,2024-02-08,2024-02-22,Active,http://example.com/images/books_magazines.jpg,Books & Magazines,Books and magazines for all ages
40,Jewelry,,Jewelry items and accessories,2024-02-09,2024-02-23,Active,http://example.com/images/jewelry.jpg,Jewelry,Exquisite jewelry items
41,Watches,,Various types of watches,2024-02-10,2024-02-24,Active,http://example.com/images/watches.jpg,Watches,Stylish watches for all occasions
42,Optics,,Products related to optics and vision,2024-02-11,2024-02-25,Active,http://example.com/images/optics.jpg,Optics,Optical products for vision
43,Hobbies,,Products for various hobbies and crafts,2024-02-12,2024-02-26,Active,http://example.com/images/hobbies.jpg,Hobbies,Hobby and craft products
44,Games,,Various types of games and gaming accessories,2024-02-13,2024-02-27,Active,http://example.com/images/games.jpg,Games,Fun and engaging games
45,Camping & Hiking,,Products designed for camping and hiking,2024-02-14,2024-02-28,Active,http://example.com/images/camping_hiking.jpg,Camping & Hiking,Essential camping and hiking gear
46,Winter Sports,37,Products for winter sports activities,2024-02-15,2024-02-29,Active,http://example.com/images/winter_sports.jpg,Winter Sports,Winter sports equipment
47,Water Sports,37,Products for water sports activities,2024-02-16,2024-03-01,Active,http://example.com/images/water_sports.jpg,Water Sports,Water sports equipment and accessories
48,Photography,1,Products related to photography and cameras,2024-02-17,2024-03-02,Active,http://example.com/images/photography.jpg,Photography,Photography equipment and accessories
49,Art,,Art supplies and products,2024-02-18,2024-03-03,Active,http://example.com/images/art.jpg,Art,Art supplies for artists
50,Collectibles,,Collectible items and memorabilia,2024-02-19,2024-03-04,Active,http://example.com/images/collectibles.jpg,Collectibles,Unique collectible items
